Index, Artist, Song, Year, Genre
36, Eddie Cochran,               "Summertime Blues",            1958,  Rock and Roll
37, Buddy Holly,                 "Peggy Sue",                   1957,  Rock and Roll/Rockabilly
38, Chuck Berry,                 "Johnny B. Goode",             1958,  Rock and Roll
39, Fats Domino,                 "Blueberry  Hill",             1956,  R&B
40, Jerry Lee. Lewis,            "Great Balls of Fire",         1957,  Rock and Roll/Rockabilly
41, Little Richard,              "Tutti Frutti",                1955,  R&B/R&R
42, Pat Boone,                   "Tutti Frutti",                1955,  Teen Idol / Rock and Roll
43, Richie Valens,               "La Bamba",                    1958,  Latin-Influenced Rock and Roll
44, Chubby Checker,              "Let’s Twist Again",           1961,  Pop-Rock and Roll
45, Shirelles,                   "Will You Love Me Tomorrow?",  1960,  Girl Group                  
46, Ike and Tina Turner,         "River Deep, Mountain High",   1966,  R&B
47, The Ronettes,                "Be My Baby",                  1963,  Girl Group
48, Dick Dale,                   "Misirlou",                    1962,  Surf rock
49, Duane Eddy,                  "Rebel Rouser",                1958,  Surf rock
50, The Ventures,                "Walk Don’t  Run",             1963,  Surf rock
51, Chuck  Berry,                "Sweet Little Sixteen",        1958,  Rock and Roll
52, The Beach Boys,              "Surfin’ USA",                 1963,  Surf  rock
53, The Beach Boys,              "Good Vibrations",             1966,  Pop-Rock
54, The Beach Boys,              "God Only Knows",              1966,  Pop-Rock
55, Ray Charles,                 "What’d I Say",                1959,  R&B
56, James Brown,                 "Please, Please, Please",      1956,  Soul/R&B
57, Wilson Pickett,              "In the Midnight Hour",        1965,  Memphis Soul/Southern Soul
58, Aretha Franklin,             "Respect",                     1967,  Soul
59, The Temptations,             "My Girl",                     1965,  Motown Soul
60, Stevie Wonder,               "Living for the City",         1973,  Motown Soul
61, Harold Melvin,               "If You Don’t Know Me by Now", 1972,  Philly Soul
62, The O’Jays,                  "Love Train",                  1973,  Philly Soul  
63, The Beatles,                 "I Want to Hold Your Hand",    1964,  Pop-Rock/British Invasion
64, The Beatles,                 "Norwegian Wood",              1965,  British Invasion
65, The Beatles,                 "A Day in the Life",           1967,  Psychedelic Rock
66, Buddy Holly,                 "Not Fade Away",               1957,  Rockabiilly (with Latin tinge)
67, The Rolling Stones,          "Not Fade Away",               1964,  Blues Rock
68, The Rolling Stones,          "Get Off of My Cloud",         1965,  British Invasion
69, The Kinks,                   "You Really Got Me",           1964,  British Invasion/proto-punk
70, The Who,                     "My Generation",               1965,  British Invasion/Hard Rock
71, Cream,                       "Crossroads",                  1968,  Blues Rock
72, The Kingsmen,                "Louie Louie",                 1963,  Garage Band
73, Paul Revere and the Raiders, "Kicks",                       1966,  Bubble Gum
